Company Name,Tier,Sub-Industry,Employees,Revenue,Locations,HQ,L&D Team Size,Key Signal,Qualification Summary,Relevant Tech Stack Detected,Competitor Platform,Why Now,News / Press Reference,Website Evidence,Website,Talking Points,Composite Score,FIT,SIGNALS,TIMING,Override,Year Founded,Ownership Type,Last Updated,Data Source Category,ZI_Company_ID,Exclusion Status
1at Advantage Mortgage a Draper and Kramer,,,4500,$962M,,"Chicago, Illinois",,,,,,,,,,,,,,,,,PRIVATE,2026-02-25,ZoomInfo,347917685,Clean
1st Franklin Financial,,Lending & Brokerage,1575,$238M,395,"Toccoa, Georgia",,,,,,,,,,,,,,,,1941,PRIVATE,2026-02-25,ZoomInfo,108380197,Clean
1st Source Bank,,Banking,1216,$421M,130,"South Bend, Indiana",,,,,,,,,,,,,,,,1863,PUBLIC,2026-02-25,ZoomInfo,65473439,Clean
21st Mortgage,,Lending & Brokerage,1000,$516M,14,"Knoxville, Tennessee",,,,,,,,,,,,,,,,1995,PRIVATE,2026-02-25,ZoomInfo,462700650,Clean
2m Payment Solutions,,Credit Cards & Transaction Processing,2260,$489M,,"Los Angeles, California",,,,,,,,,,,,,,,,2010,PRIVATE,2026-02-25,ZoomInfo,348276625,Clean
777 Partners,,Venture Capital & Private Equity,2000,$6M,31,"Miami, Florida",,,,,,,,,,,,,,,,2015,PRIVATE,2026-02-25,ZoomInfo,435667595,Clean
A B Nicholas,,Investment Banking,1251,$420M,4,"Washington, District of Columbia",,,,,,,,,,,,,,,,2008,PRIVATE,2026-02-25,ZoomInfo,346793185,Clean
AAG,,Lending & Brokerage,1509,$778M,,"Orange, California",,,,,,,,,,,,,,,,2004,PRIVATE,2026-02-25,ZoomInfo,11098733,Clean
Aarna Milan Hotel Group,,Management Consulting,1802,$622M,2,"Enid, Oklahoma",,,,,,,,,,,,,,,,,PRIVATE,2026-02-25,ZoomInfo,413789808,Clean
AAW Doors,,Home Improvement & Hardware Retail,2817,$155M,12,"Los Angeles, California",,,,,,,,,,,,,,,,1988,PRIVATE,2026-02-25,ZoomInfo,372689460,Clean
Ab Private Credit Investors,,,3438,$232M,,"New York City, New York",,,,,,,,,,,,,,,,,PUBLIC,2026-02-25,ZoomInfo,345685004,Clean
ABO Ventures,,,2111,$453M,,"Lexington, Massachusetts",,,,,,,,,,,,,,,,2008,PRIVATE,2026-02-25,ZoomInfo,351744502,Clean
ACA,,Management Consulting,1400,$296M,19,"New York City, New York",,,,,,,,,,,,,,,,2002,PRIVATE,2026-02-25,ZoomInfo,639053,Clean
Acacia,,,1036,$284M,16,"New York City, New York",,,,,,,,,,,,,,,,1993,PUBLIC,2026-02-25,ZoomInfo,213067,Clean
Academy Mortgage,,,1097,$495M,523,"Draper, Utah",,,,,,,,,,,,,,,,1988,PRIVATE,2026-02-25,ZoomInfo,1153608,Clean
