Company Name,Tier,Sub-Industry,Employees,Revenue,Locations,HQ,L&D Team Size,Key Signal,Qualification Summary,Relevant Tech Stack Detected,Competitor Platform,Why Now,News / Press Reference,Website Evidence,Website,Talking Points,Composite Score,FIT,SIGNALS,TIMING,Override,Year Founded,Ownership Type,Last Updated,Data Source Category,ZI_Company_ID,Exclusion Status
Amphenol TCS,,Wire & Cable,1131,$97M,,"Nashua, New Hampshire",,,,,,,,,,,,,,,,1968,PRIVATE,2026-02-25,ZoomInfo,559012777,Clean
The Okonite Company,,Wire & Cable,1000,$100M,57,"Ramsey, New Jersey",,,,,,,,,www.okonite.com,,,,,,,1878,PRIVATE,2026-02-25,ZoomInfo,28722025,Clean
Phifer Incorporated,,Wire & Cable,1793,$320M,19,"Tuscaloosa, Alabama",,,,,,,,,www.phifer.com,,,,,,,1952,PRIVATE,2026-02-25,ZoomInfo,30294858,Clean
Encore Wire Corporation,,Wire & Cable,1380,$1.3B,10,"Mc Kinney, Texas",,,,,,,,,www.encorewire.com,,,,,,,1989,PRIVATE,2026-02-25,ZoomInfo,39738715,Clean
AFC Cable Systems,,Wire & Cable,3000,$355M,,"New Bedford, Massachusetts",,,,,,,,,,,,,,,,1926,PRIVATE,2026-02-25,ZoomInfo,1870283,Clean
Superior Essex Inc.,,Wire & Cable,3000,$813M,40,"Atlanta, Georgia",,,,,,,,,www.superioressex.com,,,,,,,2000,PRIVATE,2026-02-25,ZoomInfo,41881271,Clean
WireCo WorldGroup,,Wire & Cable,4000,$1.1B,,"Prairie Village, Kansas",,,,,,,,,wireco.com,,,,,,,2008,PRIVATE,2026-02-25,ZoomInfo,267862030,Clean
Carlisle Interconnect Technologies,,Wire & Cable,6000,$845M,,"Saint Augustine, Florida",,,,,,,,,,,,,,,,1940,PRIVATE,2026-02-25,ZoomInfo,351312929,Clean
Southwire,,Wire & Cable,7000,$2.4B,77,"Carrollton, Georgia",,,,,,,,,www.southwire.com,,,,,,,1950,PRIVATE,2026-02-25,ZoomInfo,35849093,Clean
Leviton Manufacturing Co.,,Wire & Cable,7500,$1.3B,76,"Melville, New York",,,,,,,,,www.leviton.com,,,,,,,1906,PRIVATE,2026-02-25,ZoomInfo,22495842,Clean
Bizlink Group,,Wire & Cable,14478,$778M,19,"Fremont, California",,,,,,,,,www.bizlinktech.com,,,,,,,1996,PUBLIC,2026-02-25,ZoomInfo,11439486,Clean
Bulova,,Watches & Jewelry,3554,$700M,21,"New York City, New York",,,,,,,,,www.bulova.com,,,,,,,1875,PRIVATE,2026-02-25,ZoomInfo,10685241,Clean
"Stuller, Inc.",,Watches & Jewelry,1000,$484M,22,"Lafayette, Louisiana",,,,,,,,,www.stuller.com,,,,,,,1970,PRIVATE,2026-02-25,ZoomInfo,36881380,Clean
"Kendra Scott, LLC",,Watches & Jewelry,2500,$797M,121,"Austin, Texas",,,,,,,,,www.kendrascott.com,,,,,,,2002,PRIVATE,2026-02-25,ZoomInfo,126747505,Clean
"Timex.com, Inc.",,Watches & Jewelry,3000,$910M,38,"Middlebury, Connecticut",,,,,,,,,www.timex.com,,,,,,,1854,PRIVATE,2026-02-25,ZoomInfo,38339080,Clean
Axel Johnson Inc,,Venture Capital & Private Equity,4000,$3.4B,9,"New York City, New York",,,,,,,,,www.axeljohnson.com,,,,,,,1920,PRIVATE,2026-02-25,ZoomInfo,5769075,Clean
U.S. Pipe,,Utilities,1959,$813M,,,,,,,,,,,http://www.uspipe.com,,,,,,,,,2026-02-25,ZoomInfo + Estimated,None,Clean
Ho-Chunk Inc.,,Chemicals & Related Products,1400,$290M,14,"Winnebago, Nebraska",,,,,,,,,www.hochunkinc.com,,,,,,,1994,PRIVATE,2026-02-25,ZoomInfo,67406381,Clean
Kia Georgia,,Transportation,2770,$500M,,"West Point, Georgia",,,,,,,,,www.kiageorgia.com,,,,,,,,,2026-02-25,ZoomInfo,None,Clean
,,,,,,,,,,,,,,,,,,,,,,,,,,,REMOVED — International
Honda Manufacturing of Alabama LLC,,Transportation,6876,$1.4B,,"Lincoln, Alabama",,,,,,,,,www.hondaalabama.com,,,,,,,,,2026-02-25,ZoomInfo,480922972,Clean
Nissan USA,,Transportation,22000,$961M,,,,,,,,,,,www.nissanusa.com,,,,,,,,,2026-02-25,ZoomInfo + Estimated,None,Clean
,,,,,,,,,,,,,,,,,,,,,,,,,,,REMOVED — International
